address,type
0x8ab7404063ec4dbcfd4598215992dc3f8ec853d7,ETH
0x1c74cff0376fb4031cd7492cd6db2d66c3f2c6b9,ETH
0x06af07097c9eeb7fd685c692751d5c66db49c215,ETH
0xc00e94cb662c3520282e6f5717214004a7f26888,ETH
0xb3319f5d18bc0d84dd1b4825dcde5d5f7266d407,ETH
0x158079ee67fce2f58472a96584a73c7ab9ac95c1,ETH
0x6c8c6b02e7b2be14d4fa6022dfd6d75921d90e4e,ETH
0x5d3a536e4d6dbd6114cc1ead35777bab948e3643,ETH
0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,ETH
0xf5dce57282a584d2746faf1593d3121fcac444dc,ETH
0x39aa39c021dfbae8fac545936693ac917d5e7563,ETH
0xf650c3d88d12db855b8bf7d11be6c55a4e07dcc9,ETH
0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,ETH
0x6b175474e89094c44da98b954eedeac495271d0f,ETH
0x9b869c2eaae08136c43d824ea75a2f376f1aa983,ETH
0x431ad2ff6a9c365805ebad47ee021148d6f7dbe0,ETH
0x59459a7fdf11a341bb14413cca51850f072901cc,ETH
0x80fb784b7ed66730e8b1dbd9820afd29931aab03,ETH
0x493c57c4763932315a328269e1adad09653b9081,ETH
0x77f973fcaf871459aa58cd81881ce453759281bc,ETH
0x1cc9567ea2eb740824a45f8026ccf8e46973234d,ETH
0x1d496da96caf6b518b133736beca85d5c4f9cbc5,ETH
0xbd56e9477fc6997609cf45f84795efbdac642ff1,ETH
0x14094949152eddbfcd073717200da82fed8dc960,ETH
0x49f4592e641820e928f9919ef4abd92a719b4b49,ETH
0xf013406a0b1d544238083df0b93ad0d2cbe0f65f,ETH
0xba9262578efef8b3aff7f60cd629d6cc8859c8b5,ETH
0xa7eb2bc82df18013ecc2a6c533fc29446442edee,ETH
0x16de59092dae5ccf4a1e6439d611fd0653f0bd01,ETH
0xf61718057901f84c4eec4339ef8f0d86d2b45600,ETH
0x73a052500105205d34daf004eab301916da8190f,ETH
0xd6ad7a6750a7593e092a9b218d66c0a814a3436e,ETH
0x83f798e925bcd4017eb265844fddabb448f1707d,ETH
0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,ETH
0x04abeda201850ac0124161f037efd70c74ddc74c,ETH
0xf53ad2c6851052a81b42133467480961b2321c09,ETH
0xea8b224edd3e342deb514c4176c2e72bcce6fff9,ETH
0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359,ETH
0x88c64a7d2ecc882d558dd16abc1537515a78bb7d,ETH
0x8a8079c7149b8a1611e5c5d978dca3be16545f83,ETH
0xf6e9b246319ea30e8c2fa2d1540aaebf6f9e1b89,ETH
0xafd870f32ce54efdbf677466b612bf8ad164454b,ETH
0xd6014ea05bde904448b743833ddf07c3c7837481,ETH
0x336213e1ddfc69f4701fc3f86f4ef4a160c1159d,ETH
0xcb98f42221b2c251a4e74a1609722ee09f0cc08e,ETH
0x14d10003807ac60d07bb0ba82caeac8d2087c157,ETH
0xf4eebdd0704021ef2a6bbe993fdf93030cd784b4,ETH
0xd50c1746d835d2770dda3703b69187bffeb14126,ETH
0xa9859874e1743a32409f75bb11549892138bba1e,ETH
0x2d7ac061fc3db53c39fe1607fb8cec1b2c162b01,ETH
0x79da1431150c9b82d2e5dfc1c68b33216846851e,ETH
0xc5807183a9661a533cb08cbc297594a0b864dc12,ETH
0x4adf728e2df4945082cdd6053869f51278fae196,ETH
0x27269b3e45a4d3e79a3d6bfee0c8fb13d0d711a6,ETH
0x8deef89058090ac5655a99eeb451a4f9183d1678,ETH
0xe36e2d3c7c34281fa3bc737950a68571736880a1,ETH
0xf48e200eaf9906362bb1442fca31e0835773b8b4,ETH
0x36a2422a863d5b950882190ff5433e513413343a,ETH
0x617aecb6137b5108d1e7d4918e3725c8cebdb848,ETH
0xfe18be6b3bd88a2d2a7f928d00292e7a9963cfc6,ETH
0xeabacd844a196d7faf3ce596edebf9900341b420,ETH
0x0f83287ff768d1c1e17a42f44d644d7f22e8ee1d,ETH
0xfe33ae95a9f0da8a845af33516edc240dcd711d6,ETH
0xe1afe1fd76fd88f78cbf599ea1846231b8ba3b6b,ETH
0x88c8cf3a212c0369698d13fe98fcb76620389841,ETH
0x22602469d704bffb0936c7a7cfcd18f7aa269375,ETH
0x5e74c9036fb86bd7ecdcb084a0673efc32ea31cb,ETH
0xd71ecff9342a5ced620049e616c5035f1db98620,ETH
0x23348160d7f5aca21195df2b70f28fce2b0be9fc,ETH
0x97fe22e7341a0cd8db6f6c021a24dc8f4dad855f,ETH
0xf6b1c627e95bfc3c1b4c9b825a032ff0fbf3e07d,ETH
0xbbc455cb4f1b9e4bfc4b73970d360c8f032efee6,ETH
0xc14103c2141e842e228fbac594579e798616ce7a,ETH
0x757de3ac6b830a931ef178c6634c5c551773155c,ETH
0xf2e08356588ec5cd9e437552da87c0076b4970b0,ETH
0x57ab1ec28d129707052df4df418d58a2d46d5f51,ETH
0x6a22e5e94388464181578aa7a6b869e00fe27846,ETH
0x261efcdd24cea98652b9700800a13dfbca4103ff,ETH
0x5299d6f7472dcc137d7f3c4bcfbbb514babf341a,ETH
